gene_id,ctrl_1,ctrl_2,ctrl_3,treat_1,treat_2,treat_3
GENE_0051,301,342,477,2091,1202,3000
GENE_0061,277,90,300,616,634,2573
GENE_0078,43,17,96,338,101,560
GENE_0091,69,101,44,259,489,784
GENE_0098,209,148,235,283,1173,1813
GENE_0109,91,97,84,438,214,288
GENE_0135,175,246,344,1417,1306,487
GENE_0177,528,380,387,3913,4678,7792
GENE_0180,168,264,501,3541,2638,2703
GENE_0196,232,301,332,1810,2977,3468
GENE_0199,67,146,376,1150,1453,1335
GENE_0200,208,394,363,817,1376,1618
GENE_0217,213,285,102,1023,778,2710
GENE_0235,433,333,671,3301,2921,4893
GENE_0250,137,104,149,1369,1030,1801
GENE_0037,75,54,14,6,2,1
GENE_0046,160,220,348,75,57,87
GENE_0053,78,116,72,33,33,48
GENE_0075,92,61,119,29,74,42
GENE_0077,6,3,8,1,5,6
GENE_0085,265,769,846,170,178,280
GENE_0100,159,142,647,28,33,14
GENE_0150,297,263,215,115,58,75
GENE_0167,150,221,106,17,23,33
GENE_0184,91,227,240,25,26,26
GENE_0192,91,48,66,23,82,10
GENE_0193,228,204,294,67,54,92
GENE_0197,4,26,34,5,6,21
GENE_0202,98,75,91,38,23,49
GENE_0210,100,153,96,14,7,18
GENE_0001,245,134,471,260,484,498
GENE_0002,220,136,222,102,431,308
GENE_0003,55,23,257,97,112,88
GENE_0004,140,105,132,88,234,157
GENE_0005,498,606,824,510,712,665
GENE_0006,233,278,435,200,224,226
GENE_0007,181,71,355,65,197,533
GENE_0008,58,99,22,10,44,188
GENE_0009,62,122,98,54,295,44
GENE_0010,239,379,579,309,219,386
GENE_0011,24,128,51,178,83,103
GENE_0012,373,390,733,378,493,835
GENE_0013,98,207,289,211,127,303
GENE_0014,683,383,529,668,660,557
GENE_0015,95,79,161,202,49,204
GENE_0016,586,446,1081,461,538,724
GENE_0017,10,17,26,36,36,33
GENE_0018,660,459,787,395,340,677
GENE_0019,207,75,162,105,196,178
GENE_0020,740,684,845,529,888,1184
GENE_0021,52,22,84,40,17,32
GENE_0022,67,26,90,87,61,48
GENE_0023,0,19,16,25,7,25
GENE_0024,149,402,496,420,615,671
GENE_0025,72,31,13,64,14,37
GENE_0026,102,39,150,30,3,88
GENE_0027,139,149,128,124,123,194
GENE_0028,302,48,487,213,174,135
GENE_0029,26,53,173,152,60,160
GENE_0030,110,201,207,252,214,335
