gene_id,true_log2fc,is_de,direction
GENE_0051,2.107891937850724,1,up
GENE_0061,2.167525407096355,1,up
GENE_0078,1.9605251884838844,1,up
GENE_0091,2.10577766946302,1,up
GENE_0098,2.2203454746095774,1,up
GENE_0109,2.984005817796929,1,up
GENE_0135,2.0525294604835818,1,up
GENE_0177,2.9466289195730906,1,up
GENE_0180,2.9558781487774493,1,up
GENE_0196,2.866525130562339,1,up
GENE_0199,2.5671928835959106,1,up
GENE_0200,2.0614102430039383,1,up
GENE_0217,2.6820988935380634,1,up
GENE_0235,3.110671401769869,1,up
GENE_0250,2.489740224570526,1,up
GENE_0037,-1.649948380437356,1,down
GENE_0046,-1.552866000188779,1,down
GENE_0053,-2.1666591973707408,1,down
GENE_0075,-1.9944289972760132,1,down
GENE_0077,-2.9811487775082592,1,down
GENE_0085,-1.9515543731426694,1,down
GENE_0100,-2.7548789075024374,1,down
GENE_0150,-2.653346333617253,1,down
GENE_0167,-2.8699544377643518,1,down
GENE_0184,-2.5164506200843064,1,down
GENE_0192,-1.5068290387726206,1,down
GENE_0193,-2.0872435038045443,1,down
GENE_0197,-2.0148629259674387,1,down
GENE_0202,-1.5633387833402896,1,down
GENE_0210,-2.8140388308872177,1,down
GENE_0001,0.0,0,ns
GENE_0002,0.0,0,ns
GENE_0003,0.0,0,ns
GENE_0004,0.0,0,ns
GENE_0005,0.0,0,ns
GENE_0006,0.0,0,ns
GENE_0007,0.0,0,ns
GENE_0008,0.0,0,ns
GENE_0009,0.0,0,ns
GENE_0010,0.0,0,ns
GENE_0011,0.0,0,ns
GENE_0012,0.0,0,ns
GENE_0013,0.0,0,ns
GENE_0014,0.0,0,ns
GENE_0015,0.0,0,ns
GENE_0016,0.0,0,ns
GENE_0017,0.0,0,ns
GENE_0018,0.0,0,ns
GENE_0019,0.0,0,ns
GENE_0020,0.0,0,ns
GENE_0021,0.0,0,ns
GENE_0022,0.0,0,ns
GENE_0023,0.0,0,ns
GENE_0024,0.0,0,ns
GENE_0025,0.0,0,ns
GENE_0026,0.0,0,ns
GENE_0027,0.0,0,ns
GENE_0028,0.0,0,ns
GENE_0029,0.0,0,ns
GENE_0030,0.0,0,ns
