gene_id,ctrl_1,ctrl_2,ctrl_4,treat_1,treat_3,treat_4
GENE_0177,528,380,694,3913,7792,3057
GENE_0180,168,264,226,3541,2703,1659
GENE_0196,232,301,240,1810,3468,2930
GENE_0199,67,146,183,1150,1335,918
GENE_0200,208,394,176,817,1618,2034
GENE_0217,213,285,289,1023,2710,1744
GENE_0235,433,333,574,3301,4893,2463
GENE_0250,137,104,226,1369,1801,967
GENE_0258,62,25,56,670,567,129
GENE_0266,20,61,144,452,854,92
GENE_0277,66,16,63,77,144,194
GENE_0280,59,109,144,355,424,347
GENE_0283,67,65,100,874,1281,544
GENE_0288,35,57,64,279,42,259
GENE_0297,5,40,13,34,26,109
GENE_0150,297,263,599,115,75,67
GENE_0167,150,221,471,17,33,41
GENE_0184,91,227,214,25,26,32
GENE_0192,91,48,118,23,10,5
GENE_0193,228,204,405,67,92,62
GENE_0197,4,26,32,5,21,3
GENE_0202,98,75,297,38,49,50
GENE_0210,100,153,192,14,18,10
GENE_0220,40,1,14,9,12,6
GENE_0230,9,3,19,4,2,4
GENE_0232,43,41,181,2,9,0
GENE_0260,268,292,1069,42,105,64
GENE_0265,623,530,701,57,63,79
GENE_0272,24,36,50,8,38,4
GENE_0289,119,155,367,21,18,20
GENE_0020,740,684,1053,529,1184,715
GENE_0021,52,22,71,40,32,22
GENE_0022,67,26,235,87,48,59
GENE_0023,0,19,84,25,25,0
GENE_0024,149,402,893,420,671,233
GENE_0025,72,31,28,64,37,39
GENE_0026,102,39,25,30,88,21
GENE_0027,139,149,285,124,194,205
GENE_0028,302,48,521,213,135,250
GENE_0029,26,53,57,152,160,22
GENE_0030,110,201,396,252,335,146
GENE_0031,133,105,169,22,185,88
GENE_0032,1418,635,2905,1254,1987,817
GENE_0033,91,71,76,74,88,208
GENE_0034,115,242,122,64,236,170
GENE_0035,545,404,669,449,647,443
GENE_0036,197,200,444,272,422,286
GENE_0038,76,127,59,30,196,52
GENE_0039,30,40,84,54,39,14
GENE_0040,168,106,212,194,106,107
GENE_0041,23,48,63,53,40,53
GENE_0042,225,158,241,218,219,122
GENE_0043,443,520,1413,428,518,598
GENE_0044,145,105,85,101,221,109
GENE_0045,319,291,914,523,622,244
GENE_0047,94,122,178,93,164,227
GENE_0048,187,195,309,289,459,84
GENE_0049,168,149,250,93,328,197
GENE_0050,159,142,320,230,503,263
GENE_0052,113,126,191,161,273,91
