gene_id,true_log2fc,is_de,direction
GENE_0177,2.9466289195730906,1,up
GENE_0180,2.9558781487774493,1,up
GENE_0196,2.866525130562339,1,up
GENE_0199,2.5671928835959106,1,up
GENE_0200,2.0614102430039383,1,up
GENE_0217,2.6820988935380634,1,up
GENE_0235,3.110671401769869,1,up
GENE_0250,2.489740224570526,1,up
GENE_0258,2.5472564267651157,1,up
GENE_0266,2.4373603681122527,1,up
GENE_0277,1.7952728273120606,1,up
GENE_0280,1.6576249629719557,1,up
GENE_0283,3.1828708453194157,1,up
GENE_0288,2.041581512773006,1,up
GENE_0297,2.0311377991665216,1,up
GENE_0150,-2.653346333617253,1,down
GENE_0167,-2.8699544377643518,1,down
GENE_0184,-2.5164506200843064,1,down
GENE_0192,-1.5068290387726206,1,down
GENE_0193,-2.0872435038045443,1,down
GENE_0197,-2.0148629259674387,1,down
GENE_0202,-1.5633387833402896,1,down
GENE_0210,-2.8140388308872177,1,down
GENE_0220,-2.244001246336178,1,down
GENE_0230,-2.9664168892828435,1,down
GENE_0232,-2.7384074063411736,1,down
GENE_0260,-2.646274608003032,1,down
GENE_0265,-2.7289180907904926,1,down
GENE_0272,-2.1166097718065453,1,down
GENE_0289,-2.723174963203112,1,down
GENE_0020,0.0,0,ns
GENE_0021,0.0,0,ns
GENE_0022,0.0,0,ns
GENE_0023,0.0,0,ns
GENE_0024,0.0,0,ns
GENE_0025,0.0,0,ns
GENE_0026,0.0,0,ns
GENE_0027,0.0,0,ns
GENE_0028,0.0,0,ns
GENE_0029,0.0,0,ns
GENE_0030,0.0,0,ns
GENE_0031,0.0,0,ns
GENE_0032,0.0,0,ns
GENE_0033,0.0,0,ns
GENE_0034,0.0,0,ns
GENE_0035,0.0,0,ns
GENE_0036,0.0,0,ns
GENE_0038,0.0,0,ns
GENE_0039,0.0,0,ns
GENE_0040,0.0,0,ns
GENE_0041,0.0,0,ns
GENE_0042,0.0,0,ns
GENE_0043,0.0,0,ns
GENE_0044,0.0,0,ns
GENE_0045,0.0,0,ns
GENE_0047,0.0,0,ns
GENE_0048,0.0,0,ns
GENE_0049,0.0,0,ns
GENE_0050,0.0,0,ns
GENE_0052,0.0,0,ns
