gene_id,ctrl_1,ctrl_3,ctrl_5,treat_2,treat_3,treat_5
GENE_0250,137,149,252,1030,1801,429
GENE_0258,62,125,143,1109,567,362
GENE_0266,20,97,57,291,854,394
GENE_0277,66,30,39,63,144,38
GENE_0280,59,88,269,1082,424,223
GENE_0283,67,110,31,1725,1281,1315
GENE_0288,35,45,26,188,42,343
GENE_0297,5,12,15,300,26,47
GENE_0299,58,46,60,101,87,125
GENE_0311,51,168,162,679,1057,379
GENE_0314,5,12,36,14,9,136
GENE_0316,144,480,564,948,2287,943
GENE_0339,301,584,571,1351,1486,1340
GENE_0340,81,180,299,400,819,164
GENE_0377,90,124,328,1277,1341,646
GENE_0210,100,96,280,7,18,33
GENE_0220,40,20,6,26,12,0
GENE_0230,9,2,163,5,2,2
GENE_0232,43,158,104,13,9,7
GENE_0260,268,602,975,67,105,99
GENE_0265,623,476,680,70,63,63
GENE_0272,24,215,37,30,38,8
GENE_0289,119,171,332,17,18,14
GENE_0293,56,73,58,17,3,4
GENE_0321,62,140,49,9,16,14
GENE_0328,268,242,305,109,108,78
GENE_0345,36,54,118,12,18,5
GENE_0347,115,88,150,15,12,1
GENE_0351,45,133,148,2,12,9
GENE_0355,252,267,236,81,80,104
GENE_0040,168,48,220,193,106,131
GENE_0041,23,8,143,10,40,24
GENE_0042,225,115,128,100,219,233
GENE_0043,443,595,818,514,518,461
GENE_0044,145,87,131,112,221,86
GENE_0045,319,381,845,644,622,399
GENE_0047,94,138,150,87,164,95
GENE_0048,187,199,471,200,459,213
GENE_0049,168,146,394,108,328,152
GENE_0050,159,330,225,225,503,135
GENE_0052,113,232,122,158,273,145
GENE_0054,39,234,82,94,147,132
GENE_0055,32,47,144,99,64,40
GENE_0056,43,156,7,28,64,45
GENE_0057,45,64,37,55,53,22
GENE_0058,233,163,189,115,107,221
GENE_0059,132,356,367,203,603,217
GENE_0060,254,337,388,282,462,210
GENE_0062,64,169,268,115,176,62
GENE_0063,300,629,484,466,573,347
GENE_0064,121,213,92,165,96,44
GENE_0065,36,180,93,71,69,36
GENE_0066,73,91,49,91,157,42
GENE_0067,117,118,78,10,80,82
GENE_0068,18,2,0,8,73,6
GENE_0069,99,25,177,85,109,79
GENE_0070,40,17,23,54,124,30
GENE_0071,441,1135,1490,535,1493,752
GENE_0072,147,123,145,267,238,114
GENE_0073,543,317,432,301,382,188
