gene_id,true_log2fc,is_de,direction
GENE_0250,2.489740224570526,1,up
GENE_0258,2.5472564267651157,1,up
GENE_0266,2.4373603681122527,1,up
GENE_0277,1.7952728273120606,1,up
GENE_0280,1.6576249629719557,1,up
GENE_0283,3.1828708453194157,1,up
GENE_0288,2.041581512773006,1,up
GENE_0297,2.0311377991665216,1,up
GENE_0299,1.6303543576722777,1,up
GENE_0311,2.9692663358622715,1,up
GENE_0314,1.837655675459665,1,up
GENE_0316,1.8021635205318047,1,up
GENE_0339,2.1106337284279095,1,up
GENE_0340,1.666333435510047,1,up
GENE_0377,2.723799617866974,1,up
GENE_0210,-2.8140388308872177,1,down
GENE_0220,-2.244001246336178,1,down
GENE_0230,-2.9664168892828435,1,down
GENE_0232,-2.7384074063411736,1,down
GENE_0260,-2.646274608003032,1,down
GENE_0265,-2.7289180907904926,1,down
GENE_0272,-2.1166097718065453,1,down
GENE_0289,-2.723174963203112,1,down
GENE_0293,-2.5778713734553214,1,down
GENE_0321,-1.5999826948664615,1,down
GENE_0328,-1.6926043672023923,1,down
GENE_0345,-2.7494324897980027,1,down
GENE_0347,-2.5039618406799935,1,down
GENE_0351,-2.2379440939391038,1,down
GENE_0355,-1.768228496809178,1,down
GENE_0040,0.0,0,ns
GENE_0041,0.0,0,ns
GENE_0042,0.0,0,ns
GENE_0043,0.0,0,ns
GENE_0044,0.0,0,ns
GENE_0045,0.0,0,ns
GENE_0047,0.0,0,ns
GENE_0048,0.0,0,ns
GENE_0049,0.0,0,ns
GENE_0050,0.0,0,ns
GENE_0052,0.0,0,ns
GENE_0054,0.0,0,ns
GENE_0055,0.0,0,ns
GENE_0056,0.0,0,ns
GENE_0057,0.0,0,ns
GENE_0058,0.0,0,ns
GENE_0059,0.0,0,ns
GENE_0060,0.0,0,ns
GENE_0062,0.0,0,ns
GENE_0063,0.0,0,ns
GENE_0064,0.0,0,ns
GENE_0065,0.0,0,ns
GENE_0066,0.0,0,ns
GENE_0067,0.0,0,ns
GENE_0068,0.0,0,ns
GENE_0069,0.0,0,ns
GENE_0070,0.0,0,ns
GENE_0071,0.0,0,ns
GENE_0072,0.0,0,ns
GENE_0073,0.0,0,ns
