gene_id,ctrl_2,ctrl_3,ctrl_4,treat_1,treat_4,treat_5
GENE_0297,40,12,13,34,109,47
GENE_0299,39,46,13,75,228,125
GENE_0311,67,168,147,982,965,379
GENE_0314,37,12,63,36,29,136
GENE_0316,201,480,494,1357,1308,943
GENE_0339,241,584,191,1741,1337,1340
GENE_0340,33,180,209,251,179,164
GENE_0377,114,124,224,1154,905,646
GENE_0390,327,607,474,2005,1504,3326
GENE_0392,38,80,186,240,171,195
GENE_0393,17,33,77,337,432,251
GENE_0395,189,259,708,1884,980,911
GENE_0413,83,119,285,613,697,527
GENE_0430,27,39,55,194,42,289
GENE_0443,137,232,153,548,517,770
GENE_0289,155,171,367,21,20,14
GENE_0293,127,73,157,11,21,4
GENE_0321,22,140,26,9,6,14
GENE_0328,319,242,629,79,127,78
GENE_0345,69,54,87,6,7,5
GENE_0347,39,88,107,12,29,1
GENE_0351,10,133,16,9,0,9
GENE_0355,130,267,245,123,68,104
GENE_0362,1069,1279,3011,570,509,393
GENE_0371,351,362,717,95,105,79
GENE_0376,338,468,413,78,73,131
GENE_0382,293,458,600,46,49,80
GENE_0424,15,51,28,9,13,5
GENE_0444,247,472,565,111,54,50
GENE_0462,197,147,201,81,51,75
GENE_0063,301,629,618,470,339,347
GENE_0064,94,213,217,95,54,44
GENE_0065,37,180,88,37,38,36
GENE_0066,17,91,27,52,22,42
GENE_0067,129,118,236,26,40,82
GENE_0068,0,2,13,30,39,6
GENE_0069,65,25,39,94,92,79
GENE_0070,23,17,41,73,76,30
GENE_0071,565,1135,1645,803,851,752
GENE_0072,127,123,255,220,65,114
GENE_0073,195,317,235,177,296,188
GENE_0074,18,82,57,64,131,77
GENE_0076,174,274,233,293,263,169
GENE_0079,2,5,14,32,2,15
GENE_0080,78,88,36,72,78,54
GENE_0081,411,256,390,342,131,170
GENE_0082,299,312,430,436,238,385
GENE_0083,57,66,329,85,209,138
GENE_0084,250,267,310,110,149,144
GENE_0086,66,153,117,57,139,132
GENE_0087,213,462,838,180,334,353
GENE_0088,81,134,91,54,84,61
GENE_0089,26,51,26,81,50,79
GENE_0090,311,300,323,339,197,318
GENE_0092,91,9,42,69,19,6
GENE_0093,43,93,43,69,54,36
GENE_0094,101,241,259,202,187,196
GENE_0095,24,151,50,55,73,29
GENE_0096,106,141,178,76,43,100
GENE_0097,355,381,356,396,349,300
