gene_id,true_log2fc,is_de,direction
GENE_0297,2.0311377991665216,1,up
GENE_0299,1.6303543576722777,1,up
GENE_0311,2.9692663358622715,1,up
GENE_0314,1.837655675459665,1,up
GENE_0316,1.8021635205318047,1,up
GENE_0339,2.1106337284279095,1,up
GENE_0340,1.666333435510047,1,up
GENE_0377,2.723799617866974,1,up
GENE_0390,3.104891882505587,1,up
GENE_0392,2.4945284990472616,1,up
GENE_0393,3.163932692800045,1,up
GENE_0395,1.8837349809388373,1,up
GENE_0413,2.3694022918966184,1,up
GENE_0430,1.697295009063168,1,up
GENE_0443,2.7076094776008612,1,up
GENE_0289,-2.723174963203112,1,down
GENE_0293,-2.5778713734553214,1,down
GENE_0321,-1.5999826948664615,1,down
GENE_0328,-1.6926043672023923,1,down
GENE_0345,-2.7494324897980027,1,down
GENE_0347,-2.5039618406799935,1,down
GENE_0351,-2.2379440939391038,1,down
GENE_0355,-1.768228496809178,1,down
GENE_0362,-1.3124895561985543,1,down
GENE_0371,-1.7616596536915077,1,down
GENE_0376,-2.1956525968118688,1,down
GENE_0382,-2.0842651075784766,1,down
GENE_0424,-2.7660685705455688,1,down
GENE_0444,-1.5829713810332442,1,down
GENE_0462,-1.7037598912950358,1,down
GENE_0063,0.0,0,ns
GENE_0064,0.0,0,ns
GENE_0065,0.0,0,ns
GENE_0066,0.0,0,ns
GENE_0067,0.0,0,ns
GENE_0068,0.0,0,ns
GENE_0069,0.0,0,ns
GENE_0070,0.0,0,ns
GENE_0071,0.0,0,ns
GENE_0072,0.0,0,ns
GENE_0073,0.0,0,ns
GENE_0074,0.0,0,ns
GENE_0076,0.0,0,ns
GENE_0079,0.0,0,ns
GENE_0080,0.0,0,ns
GENE_0081,0.0,0,ns
GENE_0082,0.0,0,ns
GENE_0083,0.0,0,ns
GENE_0084,0.0,0,ns
GENE_0086,0.0,0,ns
GENE_0087,0.0,0,ns
GENE_0088,0.0,0,ns
GENE_0089,0.0,0,ns
GENE_0090,0.0,0,ns
GENE_0092,0.0,0,ns
GENE_0093,0.0,0,ns
GENE_0094,0.0,0,ns
GENE_0095,0.0,0,ns
GENE_0096,0.0,0,ns
GENE_0097,0.0,0,ns
