gene_id,ctrl_2,ctrl_4,ctrl_5,treat_2,treat_4,treat_5
GENE_0377,114,224,328,1277,905,646
GENE_0390,327,474,601,1799,1504,3326
GENE_0392,38,186,77,85,171,195
GENE_0393,17,77,124,160,432,251
GENE_0395,189,708,210,821,980,911
GENE_0413,83,285,93,903,697,527
GENE_0430,27,55,112,147,42,289
GENE_0443,137,153,251,1114,517,770
GENE_0450,3,29,0,55,18,53
GENE_0468,341,1083,1222,5479,6635,5105
GENE_0473,231,551,528,1229,1366,2219
GENE_0478,97,305,351,982,722,867
GENE_0493,44,151,101,824,243,384
GENE_0496,8,167,169,702,650,1163
GENE_0051,342,298,599,1202,1613,1063
GENE_0355,130,245,236,81,68,104
GENE_0362,1069,3011,2083,726,509,393
GENE_0371,351,717,526,111,105,79
GENE_0376,338,413,745,48,73,131
GENE_0382,293,600,577,76,49,80
GENE_0424,15,28,89,5,13,5
GENE_0444,247,565,375,126,54,50
GENE_0462,197,201,176,94,51,75
GENE_0465,158,156,274,32,31,20
GENE_0494,139,111,112,37,19,22
GENE_0037,54,65,39,2,19,22
GENE_0046,220,394,461,57,32,54
GENE_0053,116,61,92,33,13,14
GENE_0075,61,211,231,74,61,43
GENE_0077,3,36,29,5,0,0
GENE_0086,66,117,49,72,139,132
GENE_0087,213,838,335,689,334,353
GENE_0088,81,91,146,19,84,61
GENE_0089,26,26,66,42,50,79
GENE_0090,311,323,319,533,197,318
GENE_0092,91,42,7,10,19,6
GENE_0093,43,43,147,80,54,36
GENE_0094,101,259,128,285,187,196
GENE_0095,24,50,29,35,73,29
GENE_0096,106,178,50,72,43,100
GENE_0097,355,356,480,433,349,300
GENE_0099,50,143,87,172,74,22
GENE_0101,16,97,38,8,36,9
GENE_0102,142,72,126,87,60,102
GENE_0103,155,136,340,134,178,98
GENE_0104,254,395,134,130,176,151
GENE_0105,273,117,76,51,157,164
GENE_0106,298,451,656,658,719,421
GENE_0107,182,806,384,239,320,399
GENE_0108,489,752,537,480,466,507
GENE_0110,224,183,105,85,99,37
GENE_0111,89,50,225,107,85,109
GENE_0112,133,182,66,175,97,116
GENE_0113,287,265,543,283,292,294
GENE_0114,8,145,67,15,24,0
GENE_0115,50,67,50,94,31,42
GENE_0116,249,343,394,462,186,398
GENE_0117,17,102,142,67,42,60
GENE_0118,33,101,129,62,38,22
GENE_0119,53,79,102,37,143,54
