gene_id,true_log2fc,is_de,direction
GENE_0377,2.723799617866974,1,up
GENE_0390,3.104891882505587,1,up
GENE_0392,2.4945284990472616,1,up
GENE_0393,3.163932692800045,1,up
GENE_0395,1.8837349809388373,1,up
GENE_0413,2.3694022918966184,1,up
GENE_0430,1.697295009063168,1,up
GENE_0443,2.7076094776008612,1,up
GENE_0450,2.447158586095095,1,up
GENE_0468,3.1258684721018772,1,up
GENE_0473,2.422824409485927,1,up
GENE_0478,3.0358153741935308,1,up
GENE_0493,2.497125996398667,1,up
GENE_0496,2.9432340701296673,1,up
GENE_0051,2.107891937850724,1,up
GENE_0355,-1.768228496809178,1,down
GENE_0362,-1.3124895561985543,1,down
GENE_0371,-1.7616596536915077,1,down
GENE_0376,-2.1956525968118688,1,down
GENE_0382,-2.0842651075784766,1,down
GENE_0424,-2.7660685705455688,1,down
GENE_0444,-1.5829713810332442,1,down
GENE_0462,-1.7037598912950358,1,down
GENE_0465,-2.5386022223940357,1,down
GENE_0494,-2.340767201110176,1,down
GENE_0037,-1.649948380437356,1,down
GENE_0046,-1.552866000188779,1,down
GENE_0053,-2.1666591973707408,1,down
GENE_0075,-1.9944289972760132,1,down
GENE_0077,-2.9811487775082592,1,down
GENE_0086,0.0,0,ns
GENE_0087,0.0,0,ns
GENE_0088,0.0,0,ns
GENE_0089,0.0,0,ns
GENE_0090,0.0,0,ns
GENE_0092,0.0,0,ns
GENE_0093,0.0,0,ns
GENE_0094,0.0,0,ns
GENE_0095,0.0,0,ns
GENE_0096,0.0,0,ns
GENE_0097,0.0,0,ns
GENE_0099,0.0,0,ns
GENE_0101,0.0,0,ns
GENE_0102,0.0,0,ns
GENE_0103,0.0,0,ns
GENE_0104,0.0,0,ns
GENE_0105,0.0,0,ns
GENE_0106,0.0,0,ns
GENE_0107,0.0,0,ns
GENE_0108,0.0,0,ns
GENE_0110,0.0,0,ns
GENE_0111,0.0,0,ns
GENE_0112,0.0,0,ns
GENE_0113,0.0,0,ns
GENE_0114,0.0,0,ns
GENE_0115,0.0,0,ns
GENE_0116,0.0,0,ns
GENE_0117,0.0,0,ns
GENE_0118,0.0,0,ns
GENE_0119,0.0,0,ns
