gene_id,ctrl_3,ctrl_4,ctrl_5,treat_1,treat_2,treat_5
GENE_0443,232,153,251,548,1114,770
GENE_0450,0,29,0,118,55,53
GENE_0468,443,1083,1222,3882,5479,5105
GENE_0473,475,551,528,1915,1229,2219
GENE_0478,337,305,351,1325,982,867
GENE_0493,98,151,101,788,824,384
GENE_0496,139,167,169,1324,702,1163
GENE_0051,477,298,599,2091,1202,1063
GENE_0061,300,254,253,616,634,1159
GENE_0078,96,73,137,338,101,78
GENE_0091,44,129,66,259,489,369
GENE_0098,235,583,147,283,1173,1384
GENE_0109,84,163,238,438,214,615
GENE_0135,344,366,501,1417,1306,606
GENE_0177,387,694,913,3913,4678,3268
GENE_0462,147,201,176,81,94,75
GENE_0465,173,156,274,14,32,20
GENE_0494,134,111,112,21,37,22
GENE_0037,14,65,39,6,2,22
GENE_0046,348,394,461,75,57,54
GENE_0053,72,61,92,33,33,14
GENE_0075,119,211,231,29,74,43
GENE_0077,8,36,29,1,5,0
GENE_0085,846,1171,834,170,178,145
GENE_0100,647,272,385,28,33,30
GENE_0150,215,599,568,115,58,26
GENE_0167,106,471,175,17,23,12
GENE_0184,240,214,211,25,26,28
GENE_0192,66,118,91,23,82,14
GENE_0193,294,405,441,67,54,67
GENE_0108,644,752,537,363,480,507
GENE_0110,114,183,105,83,85,37
GENE_0111,64,50,225,79,107,109
GENE_0112,48,182,66,148,175,116
GENE_0113,322,265,543,330,283,294
GENE_0114,113,145,67,53,15,0
GENE_0115,61,67,50,11,94,42
GENE_0116,313,343,394,291,462,398
GENE_0117,127,102,142,21,67,60
GENE_0118,115,101,129,153,62,22
GENE_0119,43,79,102,33,37,54
GENE_0120,107,204,80,67,83,68
GENE_0121,954,852,761,704,637,445
GENE_0122,340,559,305,186,237,224
GENE_0123,175,65,88,40,53,29
GENE_0124,284,395,461,132,378,244
GENE_0125,74,268,217,117,83,100
GENE_0126,56,244,157,81,29,82
GENE_0127,176,257,285,68,188,203
GENE_0128,191,489,649,119,174,320
GENE_0129,186,129,99,112,169,145
GENE_0130,1097,332,681,625,677,450
GENE_0131,271,416,291,362,382,84
GENE_0132,215,102,327,100,111,165
GENE_0133,139,317,236,328,259,121
GENE_0134,320,271,373,206,179,180
GENE_0136,34,17,86,19,45,50
GENE_0137,389,813,539,433,429,302
GENE_0138,32,16,9,11,4,0
GENE_0139,26,6,51,14,97,49
