gene_id,true_log2fc,is_de,direction
GENE_0443,2.7076094776008612,1,up
GENE_0450,2.447158586095095,1,up
GENE_0468,3.1258684721018772,1,up
GENE_0473,2.422824409485927,1,up
GENE_0478,3.0358153741935308,1,up
GENE_0493,2.497125996398667,1,up
GENE_0496,2.9432340701296673,1,up
GENE_0051,2.107891937850724,1,up
GENE_0061,2.167525407096355,1,up
GENE_0078,1.9605251884838844,1,up
GENE_0091,2.10577766946302,1,up
GENE_0098,2.2203454746095774,1,up
GENE_0109,2.984005817796929,1,up
GENE_0135,2.0525294604835818,1,up
GENE_0177,2.9466289195730906,1,up
GENE_0462,-1.7037598912950358,1,down
GENE_0465,-2.5386022223940357,1,down
GENE_0494,-2.340767201110176,1,down
GENE_0037,-1.649948380437356,1,down
GENE_0046,-1.552866000188779,1,down
GENE_0053,-2.1666591973707408,1,down
GENE_0075,-1.9944289972760132,1,down
GENE_0077,-2.9811487775082592,1,down
GENE_0085,-1.9515543731426694,1,down
GENE_0100,-2.7548789075024374,1,down
GENE_0150,-2.653346333617253,1,down
GENE_0167,-2.8699544377643518,1,down
GENE_0184,-2.5164506200843064,1,down
GENE_0192,-1.5068290387726206,1,down
GENE_0193,-2.0872435038045443,1,down
GENE_0108,0.0,0,ns
GENE_0110,0.0,0,ns
GENE_0111,0.0,0,ns
GENE_0112,0.0,0,ns
GENE_0113,0.0,0,ns
GENE_0114,0.0,0,ns
GENE_0115,0.0,0,ns
GENE_0116,0.0,0,ns
GENE_0117,0.0,0,ns
GENE_0118,0.0,0,ns
GENE_0119,0.0,0,ns
GENE_0120,0.0,0,ns
GENE_0121,0.0,0,ns
GENE_0122,0.0,0,ns
GENE_0123,0.0,0,ns
GENE_0124,0.0,0,ns
GENE_0125,0.0,0,ns
GENE_0126,0.0,0,ns
GENE_0127,0.0,0,ns
GENE_0128,0.0,0,ns
GENE_0129,0.0,0,ns
GENE_0130,0.0,0,ns
GENE_0131,0.0,0,ns
GENE_0132,0.0,0,ns
GENE_0133,0.0,0,ns
GENE_0134,0.0,0,ns
GENE_0136,0.0,0,ns
GENE_0137,0.0,0,ns
GENE_0138,0.0,0,ns
GENE_0139,0.0,0,ns
