gene_id,ctrl_1,ctrl_2,ctrl_3,treat_1,treat_2,treat_3
GENE_7001,260,302,376,1703,1922,1960
GENE_7002,36,61,75,167,173,262
GENE_7003,498,460,541,1020,859,1849
GENE_7004,375,403,483,1463,1968,1913
GENE_7005,436,538,435,3092,1757,3081
GENE_7006,387,358,659,1940,1418,1751
GENE_7007,204,228,171,1238,1071,940
GENE_7008,482,358,577,1454,2021,1805
GENE_7009,194,344,257,1064,1850,1280
GENE_7010,246,356,215,813,863,1059
GENE_7011,183,249,243,599,766,770
GENE_7012,192,285,308,986,530,798
GENE_7013,273,284,293,69,84,115
GENE_7014,488,390,458,88,111,86
GENE_7015,280,448,288,69,71,83
GENE_7016,362,445,501,62,77,128
GENE_7017,104,161,170,18,21,63
GENE_7018,349,283,276,122,68,127
GENE_7019,386,528,756,164,133,177
GENE_7020,54,82,72,22,30,25
GENE_7021,556,623,542,113,168,136
GENE_7022,225,139,299,59,94,64
GENE_7023,597,445,550,174,125,190
GENE_7024,252,425,345,250,311,247
GENE_7025,442,268,382,262,269,298
GENE_7026,82,89,78,61,64,76
GENE_7027,465,394,580,318,309,489
GENE_7028,167,355,323,316,379,432
GENE_7029,148,275,310,171,279,372
GENE_7030,625,572,597,578,701,901
GENE_7031,290,639,487,379,413,404
GENE_7032,338,226,334,268,240,426
GENE_7033,248,343,311,448,337,340
GENE_7034,266,228,283,228,198,161
GENE_7035,430,586,532,366,394,559
GENE_7036,61,66,66,56,53,80
GENE_7037,382,340,377,266,342,433
GENE_7038,100,62,79,69,150,93
GENE_7039,287,343,510,561,463,502
GENE_7040,426,358,490,432,339,400
GENE_7041,447,363,554,657,552,549
GENE_7042,172,191,215,122,119,308
GENE_7043,645,378,641,395,587,554
GENE_7044,484,443,643,522,954,559
GENE_7045,66,70,84,45,61,61
GENE_7046,226,377,501,174,251,271
GENE_7047,200,260,277,220,267,387
GENE_7048,75,82,95,51,85,110
GENE_7049,428,498,925,741,645,637
GENE_7050,225,158,154,151,106,168
GENE_7051,305,339,578,580,419,491
GENE_7052,154,184,163,127,129,218
GENE_7053,326,319,436,432,334,462
GENE_7054,49,49,58,37,35,32
GENE_7055,395,570,665,369,302,315
GENE_7056,536,543,676,745,586,772
GENE_7057,498,475,548,532,553,412
GENE_7058,224,134,223,192,210,234
GENE_7059,41,41,54,19,46,46
GENE_7060,274,534,351,494,595,669
