gene_id,ctrl_1,ctrl_2,ctrl_3,treat_1,treat_2,treat_3
GENE_8001,159,162,243,271,401,662
GENE_8002,72,40,55,288,259,284
GENE_8003,175,282,395,1245,844,1783
GENE_8004,589,526,709,2500,2244,4582
GENE_8005,633,405,501,2036,1633,3029
GENE_8006,329,425,324,1868,2376,2561
GENE_8007,198,130,158,368,461,446
GENE_8008,501,596,425,1829,3644,3038
GENE_8009,34,28,40,210,184,192
GENE_8010,658,421,953,2377,1766,1234
GENE_8011,361,556,416,3196,3595,2756
GENE_8012,176,201,295,711,803,1150
GENE_8013,33,39,32,11,9,11
GENE_8014,72,106,104,38,32,27
GENE_8015,472,408,448,191,146,147
GENE_8016,226,345,298,50,76,51
GENE_8017,264,161,151,41,71,94
GENE_8018,401,574,458,58,71,86
GENE_8019,37,40,45,7,5,9
GENE_8020,56,67,128,14,23,19
GENE_8021,179,229,388,46,70,87
GENE_8022,101,119,123,18,22,25
GENE_8023,207,318,244,52,61,81
GENE_8024,545,254,470,269,576,219
GENE_8025,58,62,64,85,98,63
GENE_8026,322,517,591,371,354,486
GENE_8027,61,89,100,77,120,110
GENE_8028,58,131,137,134,175,177
GENE_8029,71,103,128,158,91,124
GENE_8030,715,479,808,271,429,531
GENE_8031,278,314,456,465,307,574
GENE_8032,238,381,593,306,384,287
GENE_8033,295,493,692,357,578,601
GENE_8034,500,361,411,443,384,541
GENE_8035,436,651,503,473,412,756
GENE_8036,440,365,486,187,242,415
GENE_8037,234,316,209,277,422,300
GENE_8038,32,37,44,56,34,61
GENE_8039,84,97,111,117,157,182
GENE_8040,141,105,161,161,169,250
GENE_8041,424,360,355,282,296,320
GENE_8042,43,36,35,44,39,48
GENE_8043,238,250,319,241,202,246
GENE_8044,94,62,103,126,81,93
GENE_8045,139,110,186,131,195,241
GENE_8046,417,580,691,481,644,611
GENE_8047,529,404,603,503,596,666
GENE_8048,185,336,257,228,234,181
GENE_8049,299,485,610,299,521,320
GENE_8050,357,458,488,299,342,269
GENE_8051,278,318,211,126,185,204
GENE_8052,232,364,381,258,312,314
GENE_8053,288,308,381,505,399,391
GENE_8054,283,275,336,404,294,472
GENE_8055,299,270,376,165,200,324
GENE_8056,172,207,167,131,219,198
GENE_8057,464,449,480,284,158,298
GENE_8058,34,33,40,30,32,56
GENE_8059,165,135,193,176,292,235
GENE_8060,75,66,72,72,64,121
