gene_id,ctrl_1,ctrl_2,ctrl_3,treat_1,treat_2,treat_3
GENE_9001,549,339,537,2336,2016,2055
GENE_9002,176,282,348,1750,1954,2106
GENE_9003,510,400,570,1847,1688,2028
GENE_9004,255,358,167,502,791,450
GENE_9005,76,130,96,142,185,248
GENE_9006,64,131,109,262,316,264
GENE_9007,528,599,580,1605,2165,2822
GENE_9008,334,309,414,1194,3039,2267
GENE_9009,264,338,483,2450,979,1413
GENE_9010,102,174,190,1100,984,590
GENE_9011,32,46,50,213,277,416
GENE_9012,44,42,48,98,112,133
GENE_9013,59,76,105,11,21,18
GENE_9014,372,448,929,89,88,150
GENE_9015,61,87,112,30,23,47
GENE_9016,113,99,159,29,37,37
GENE_9017,84,97,93,21,35,22
GENE_9018,504,407,608,112,130,153
GENE_9019,299,287,356,111,91,111
GENE_9020,407,455,391,140,131,157
GENE_9021,380,194,452,49,106,85
GENE_9022,291,235,412,63,108,67
GENE_9023,42,37,61,40,21,19
GENE_9024,260,448,387,426,430,402
GENE_9025,188,182,138,119,146,149
GENE_9026,320,434,617,461,403,533
GENE_9027,607,569,540,464,682,834
GENE_9028,269,207,239,237,241,312
GENE_9029,236,225,381,251,323,272
GENE_9030,29,36,41,32,54,68
GENE_9031,178,157,183,132,184,210
GENE_9032,106,189,135,188,261,167
GENE_9033,175,200,144,127,136,267
GENE_9034,587,659,654,362,571,261
GENE_9035,229,174,267,157,282,253
GENE_9036,161,227,223,109,172,243
GENE_9037,278,492,337,351,283,408
GENE_9038,203,285,272,320,328,365
GENE_9039,188,195,289,187,183,239
GENE_9040,247,392,445,464,355,358
GENE_9041,302,325,413,411,238,315
GENE_9042,39,47,53,37,43,110
GENE_9043,350,445,356,500,369,520
GENE_9044,63,62,96,92,78,86
GENE_9045,141,235,298,142,120,137
GENE_9046,228,225,464,239,458,236
GENE_9047,335,495,449,656,706,675
GENE_9048,453,772,505,414,389,667
GENE_9049,245,318,282,281,211,400
GENE_9050,238,231,216,158,195,219
GENE_9051,552,523,454,460,571,572
GENE_9052,95,121,219,100,128,160
GENE_9053,40,67,74,38,61,71
GENE_9054,307,329,263,141,286,230
GENE_9055,314,516,509,376,489,691
GENE_9056,62,117,66,71,71,121
GENE_9057,90,110,103,147,135,232
GENE_9058,181,227,266,199,166,214
GENE_9059,491,510,647,543,534,708
GENE_9060,467,569,409,314,407,556
