gene_id,ctrl_1,ctrl_2,ctrl_3,treat_1,treat_2,treat_3
GENE_10001,408,512,543,2157,1343,1428
GENE_10002,428,854,705,1374,1462,1325
GENE_10003,72,79,76,222,365,367
GENE_10004,222,207,316,971,863,893
GENE_10005,45,66,85,265,330,303
GENE_10006,116,188,170,627,972,868
GENE_10007,461,244,490,1683,1644,1721
GENE_10008,279,247,264,1150,1429,2036
GENE_10009,477,622,499,932,1017,1703
GENE_10010,210,368,515,1414,2346,1418
GENE_10011,374,641,429,1672,1547,1923
GENE_10012,166,151,225,500,829,764
GENE_10013,103,141,193,60,63,37
GENE_10014,618,746,644,185,179,165
GENE_10015,780,494,481,173,187,216
GENE_10016,294,582,348,49,72,116
GENE_10017,104,175,188,32,22,53
GENE_10018,368,267,280,89,106,170
GENE_10019,482,396,551,233,158,242
GENE_10020,270,251,384,66,144,134
GENE_10021,428,436,355,166,174,226
GENE_10022,327,398,435,87,98,98
GENE_10023,372,520,421,170,242,163
GENE_10024,166,161,222,93,198,208
GENE_10025,377,342,295,461,410,684
GENE_10026,185,190,313,144,222,259
GENE_10027,210,154,263,202,363,226
GENE_10028,139,111,142,161,176,189
GENE_10029,590,546,531,520,1015,766
GENE_10030,31,41,65,54,46,34
GENE_10031,661,362,385,398,563,542
GENE_10032,195,313,476,293,350,399
GENE_10033,294,391,643,548,469,445
GENE_10034,287,254,295,205,311,363
GENE_10035,410,517,362,294,245,569
GENE_10036,431,369,349,361,234,429
GENE_10037,98,126,141,88,102,94
GENE_10038,223,329,324,448,294,521
GENE_10039,217,238,318,122,150,236
GENE_10040,421,518,562,322,412,516
GENE_10041,360,452,571,409,340,617
GENE_10042,341,557,536,445,389,471
GENE_10043,363,492,516,436,325,508
GENE_10044,418,406,528,402,277,710
GENE_10045,135,218,155,123,134,151
GENE_10046,400,582,608,387,374,721
GENE_10047,127,144,202,106,76,161
GENE_10048,460,379,643,541,523,510
GENE_10049,123,200,155,244,143,198
GENE_10050,105,68,90,175,135,190
GENE_10051,192,235,205,152,203,201
GENE_10052,122,195,149,223,253,279
GENE_10053,129,220,159,122,142,160
GENE_10054,483,658,531,602,408,427
GENE_10055,126,125,144,111,102,163
GENE_10056,154,129,214,215,162,177
GENE_10057,125,216,119,159,93,206
GENE_10058,296,305,361,230,198,311
GENE_10059,119,166,133,183,148,169
GENE_10060,205,115,215,177,238,170
