gene_id,ctrl_1,ctrl_2,ctrl_3,treat_1,treat_2,treat_3
GENE_11001,535,489,427,3468,3206,3541
GENE_11002,359,337,278,1491,1624,1088
GENE_11003,205,302,280,1257,2039,2218
GENE_11004,122,85,110,749,515,451
GENE_11005,77,114,122,391,389,374
GENE_11006,157,120,195,640,1200,1119
GENE_11007,254,294,313,1488,1767,1561
GENE_11008,228,357,375,1012,1739,2101
GENE_11009,171,106,117,570,783,1362
GENE_11010,278,326,481,1831,2210,2139
GENE_11011,258,370,355,2544,1539,2110
GENE_11012,89,77,126,319,419,324
GENE_11013,126,248,172,40,67,41
GENE_11014,397,382,606,70,79,101
GENE_11015,61,135,86,28,27,35
GENE_11016,555,524,661,222,135,227
GENE_11017,181,478,451,98,103,100
GENE_11018,319,313,471,116,121,189
GENE_11019,158,266,241,66,100,98
GENE_11020,123,191,170,53,71,35
GENE_11021,506,598,473,127,192,177
GENE_11022,417,574,751,155,150,171
GENE_11023,185,378,239,59,77,104
GENE_11024,200,266,194,419,363,365
GENE_11025,159,267,448,204,279,286
GENE_11026,210,305,229,258,211,234
GENE_11027,102,63,77,74,111,154
GENE_11028,423,449,393,290,324,395
GENE_11029,318,286,336,247,297,394
GENE_11030,79,78,100,82,56,94
GENE_11031,502,574,556,601,686,843
GENE_11032,248,375,432,231,331,401
GENE_11033,184,234,186,99,125,158
GENE_11034,78,84,62,37,48,52
GENE_11035,149,176,170,163,126,279
GENE_11036,206,332,261,187,232,299
GENE_11037,52,44,68,33,45,48
GENE_11038,223,231,325,167,212,285
GENE_11039,105,120,156,114,121,83
GENE_11040,221,201,194,200,242,238
GENE_11041,205,296,177,216,146,200
GENE_11042,159,181,242,197,243,286
GENE_11043,469,638,460,370,589,761
GENE_11044,188,217,207,172,142,259
GENE_11045,433,332,468,335,409,398
GENE_11046,412,455,568,352,377,426
GENE_11047,84,118,155,121,129,125
GENE_11048,318,294,345,266,276,263
GENE_11049,349,397,490,291,576,403
GENE_11050,243,275,279,331,364,584
GENE_11051,230,347,396,237,312,410
GENE_11052,305,411,493,281,365,386
GENE_11053,365,469,462,496,454,468
GENE_11054,438,532,339,448,626,610
GENE_11055,276,341,327,205,355,271
GENE_11056,50,59,87,100,61,101
GENE_11057,254,247,282,204,169,202
GENE_11058,29,39,25,29,60,66
GENE_11059,427,571,553,635,606,1096
GENE_11060,207,232,262,326,190,415
