gene_id,ctrl_1,ctrl_2,ctrl_3,treat_1,treat_2,treat_3
GENE_0001,250,180,135,112,237,163
GENE_0002,85,60,151,88,78,65
GENE_0003,151,229,184,157,136,189
GENE_0004,376,289,541,135,1795,886
GENE_0005,89,88,142,60,108,71
GENE_0006,46,32,51,71,31,60
GENE_0007,761,526,766,514,330,516
GENE_0008,278,185,129,36,14,35
GENE_0009,39,42,38,60,51,72
GENE_0010,198,203,316,226,134,119
GENE_0011,25,65,100,95,73,35
GENE_0012,41,55,15,54,43,48
GENE_0013,221,71,137,175,208,115
GENE_0014,25,8,9,13,4,18
GENE_0015,8,6,9,0,4,1
GENE_0016,7,41,17,103,232,162
GENE_0017,20,42,58,24,23,26
GENE_0018,94,49,133,304,53,367
GENE_0019,35,20,31,11,6,12
GENE_0020,22,27,32,20,17,24
GENE_0021,840,1253,550,481,690,823
GENE_0022,166,43,152,108,66,23
GENE_0023,39,63,34,21,21,26
GENE_0024,18,8,13,4,1,5
GENE_0025,50,31,73,4,8,7
GENE_0026,136,114,199,104,122,135
GENE_0027,22,23,7,41,21,28
GENE_0028,95,57,279,153,36,156
GENE_0029,44,43,59,18,9,12
GENE_0030,50,42,36,44,52,40
GENE_0031,73,16,71,35,63,15
GENE_0032,656,1145,839,806,1052,565
GENE_0033,100,40,80,64,115,194
GENE_0034,35,27,41,20,26,22
GENE_0035,483,164,185,112,148,156
GENE_0036,45,17,31,66,31,93
GENE_0037,51,100,91,149,149,54
GENE_0038,3,6,20,2,16,4
GENE_0039,33,13,24,6,5,4
GENE_0040,47,40,135,252,189,320
GENE_0041,108,104,308,96,168,230
GENE_0042,191,150,151,62,46,92
GENE_0043,129,164,130,62,71,74
GENE_0044,51,56,50,46,36,67
GENE_0045,7,10,27,7,14,41
GENE_0046,48,23,20,3,4,4
GENE_0047,66,37,77,53,32,61
GENE_0048,194,136,102,26,13,19
GENE_0049,116,154,189,133,109,99
GENE_0050,16,14,13,2,4,5
GENE_0051,91,135,121,282,191,194
GENE_0052,79,50,16,36,9,109
GENE_0053,20,14,27,54,74,27
GENE_0054,174,210,63,857,1228,215
GENE_0055,417,154,453,366,170,182
GENE_0056,212,159,206,257,279,326
GENE_0057,31,23,44,25,45,23
GENE_0058,57,82,181,23,141,65
GENE_0059,37,211,207,67,139,181
GENE_0060,166,527,195,15,27,22
GENE_0061,34,55,43,264,243,364
GENE_0062,71,40,96,121,71,130
GENE_0063,38,17,31,4,5,3
GENE_0064,33,4,23,29,18,37
GENE_0065,228,282,194,33,41,21
GENE_0066,326,329,439,346,234,397
GENE_0067,118,32,116,52,24,56
GENE_0068,617,257,562,33,70,79
GENE_0069,106,114,115,149,204,184
GENE_0070,61,6,47,19,59,13
GENE_0071,131,199,59,358,692,466
GENE_0072,285,643,644,702,791,360
GENE_0073,47,111,150,65,78,88
GENE_0074,485,484,280,783,369,391
GENE_0075,10,4,8,6,4,1
GENE_0076,377,255,179,374,334,83
GENE_0077,86,89,105,98,79,70
GENE_0078,15,59,56,99,23,94
GENE_0079,155,179,87,124,86,196
GENE_0080,23,4,9,4,11,7
GENE_0081,58,85,148,685,176,225
GENE_0082,124,87,129,45,38,11
GENE_0083,349,577,535,2160,1906,4626
GENE_0084,39,34,39,46,41,40
GENE_0085,37,16,100,18,10,24
GENE_0086,62,10,89,73,121,58
GENE_0087,238,143,174,328,346,298
GENE_0088,170,203,108,443,104,77
GENE_0089,46,21,72,37,64,31
GENE_0090,237,21,229,460,261,286
GENE_0091,78,239,199,58,56,44
GENE_0092,829,115,279,248,199,193
GENE_0093,62,32,50,30,41,35
GENE_0094,56,78,25,36,6,12
GENE_0095,69,62,76,10,18,20
GENE_0096,7,25,8,17,17,14
GENE_0097,114,107,216,121,137,139
GENE_0098,187,319,106,68,348,37
GENE_0099,201,128,126,105,35,56
GENE_0100,26,79,60,24,46,97
GENE_0101,15,26,31,43,63,56
GENE_0102,5,58,56,17,1,13
GENE_0103,71,72,59,90,98,40
GENE_0104,32,72,31,46,280,186
GENE_0105,40,19,62,94,52,152
GENE_0106,164,176,161,219,123,146
GENE_0107,549,654,1032,931,825,911
GENE_0108,58,75,161,84,111,81
GENE_0109,36,34,231,75,135,27
GENE_0110,62,47,83,956,934,381
GENE_0111,9,7,12,3,13,4
GENE_0112,47,22,194,555,591,945
GENE_0113,112,71,119,147,102,102
GENE_0114,1900,1444,686,3303,1401,2212
GENE_0115,58,52,77,53,64,79
GENE_0116,259,163,89,98,178,271
GENE_0117,54,19,36,73,46,70
GENE_0118,12,15,23,19,6,33
GENE_0119,501,292,211,175,528,389
GENE_0120,111,131,337,227,252,87
GENE_0121,214,197,333,61,340,139
GENE_0122,69,16,40,2,7,21
GENE_0123,206,1193,578,37,64,55
GENE_0124,19,10,49,124,68,65
GENE_0125,301,78,92,195,271,143
GENE_0126,725,674,1307,872,1083,587
GENE_0127,20,32,12,25,34,28
GENE_0128,81,38,41,21,98,56
GENE_0129,114,33,108,93,94,199
GENE_0130,39,75,75,47,61,36
GENE_0131,11,26,16,16,8,18
GENE_0132,278,30,233,89,321,232
GENE_0133,38,37,25,14,28,10
GENE_0134,142,163,270,309,42,191
GENE_0135,15,52,56,15,47,16
GENE_0136,355,473,610,130,146,99
GENE_0137,29,42,45,192,185,196
GENE_0138,76,95,35,58,86,170
GENE_0139,117,163,346,152,53,238
GENE_0140,8,5,12,14,38,13
GENE_0141,87,192,146,322,84,68
GENE_0142,617,381,140,507,346,612
GENE_0143,17,24,25,23,13,23
GENE_0144,116,50,73,117,81,220
GENE_0145,145,79,35,130,55,137
GENE_0146,262,201,218,319,40,193
GENE_0147,25,32,34,53,25,29
GENE_0148,10,11,27,9,12,19
GENE_0149,186,162,112,309,50,244
GENE_0150,60,97,58,68,54,137
GENE_0151,99,123,141,117,18,160
GENE_0152,228,138,167,142,169,123
GENE_0153,26,16,38,25,7,2
GENE_0154,86,203,448,19,13,13
GENE_0155,107,125,199,129,106,176
GENE_0156,61,4,41,36,17,32
GENE_0157,991,714,573,546,581,1604
GENE_0158,180,66,224,355,215,53
GENE_0159,34,22,24,17,3,26
GENE_0160,136,205,285,242,322,143
GENE_0161,21,17,18,23,22,38
GENE_0162,189,229,246,32,40,17
GENE_0163,134,824,355,450,556,507
GENE_0164,59,26,30,24,21,30
GENE_0165,390,280,388,428,432,253
GENE_0166,102,149,144,96,161,152
GENE_0167,159,206,326,346,180,157
GENE_0168,860,885,729,911,3325,479
GENE_0169,53,16,48,80,68,79
GENE_0170,55,28,34,31,27,49
GENE_0171,16,50,34,10,11,19
GENE_0172,52,30,14,37,42,31
GENE_0173,53,48,92,123,132,80
GENE_0174,205,81,155,64,110,143
GENE_0175,167,83,139,72,166,174
GENE_0176,207,120,175,1643,415,2236
GENE_0177,135,38,75,16,124,36
GENE_0178,805,629,670,438,759,511
GENE_0179,62,34,35,193,92,66
GENE_0180,2489,1341,1346,8223,34815,46571
GENE_0181,100,262,263,324,153,91
GENE_0182,17,27,26,57,17,24
GENE_0183,31,20,34,24,18,20
GENE_0184,93,271,202,88,200,203
GENE_0185,96,127,59,54,62,69
GENE_0186,136,217,250,103,170,109
GENE_0187,210,109,275,152,138,245
GENE_0188,55,56,101,84,46,64
GENE_0189,49,25,33,19,25,19
GENE_0190,76,22,2,3,12,6
GENE_0191,12,89,72,38,96,93
GENE_0192,333,219,280,499,325,550
GENE_0193,81,82,133,39,29,31
GENE_0194,14,13,29,16,19,32
GENE_0195,128,68,131,3,17,7
GENE_0196,126,95,58,139,162,171
GENE_0197,31,24,76,57,27,19
GENE_0198,82,48,150,24,16,12
GENE_0199,126,113,150,25,12,18
GENE_0200,54,27,31,376,391,165
GENE_0201,179,185,191,798,836,997
GENE_0202,208,177,252,287,138,215
GENE_0203,274,522,178,395,225,270
GENE_0204,408,284,183,217,266,84
GENE_0205,22,28,14,38,14,35
GENE_0206,30,25,40,25,14,21
GENE_0207,117,193,249,193,194,242
GENE_0208,169,142,116,149,191,55
GENE_0209,106,106,147,76,61,356
GENE_0210,5145,4062,2996,4980,4997,4898
GENE_0211,73,151,141,149,194,117
GENE_0212,274,234,381,408,215,665
GENE_0213,255,175,86,200,325,211
GENE_0214,217,125,123,134,300,118
GENE_0215,27,78,51,63,30,41
GENE_0216,188,221,389,2623,3351,470
GENE_0217,25,28,53,32,24,62
GENE_0218,63,34,56,773,362,427
GENE_0219,92,25,22,83,42,51
GENE_0220,16,117,97,76,45,45
GENE_0221,1907,1527,1533,1202,1423,953
GENE_0222,9,7,9,0,2,10
GENE_0223,248,154,182,153,139,126
GENE_0224,8,17,8,40,9,28
GENE_0225,49,35,55,41,43,58
GENE_0226,419,324,297,64,91,80
GENE_0227,76,100,81,56,46,81
GENE_0228,30,18,32,30,19,18
GENE_0229,11,15,73,37,80,39
GENE_0230,223,70,284,992,1438,2320
GENE_0231,79,28,48,79,45,36
GENE_0232,117,137,128,804,1268,1199
GENE_0233,88,139,91,174,80,205
GENE_0234,49,119,39,63,50,34
GENE_0235,3505,1071,516,713,1126,1714
GENE_0236,170,82,170,58,111,132
GENE_0237,7,7,5,14,2,13
GENE_0238,243,75,172,182,65,61
GENE_0239,27,31,33,21,40,59
GENE_0240,271,149,202,129,455,180
GENE_0241,25,27,30,387,319,255
GENE_0242,117,64,114,82,68,41
GENE_0243,194,127,229,174,141,139
GENE_0244,252,181,239,285,250,243
GENE_0245,26,14,38,34,13,18
GENE_0246,108,88,40,44,66,86
GENE_0247,72,47,29,191,477,344
GENE_0248,13,33,36,127,132,254
GENE_0249,556,240,783,374,958,976
GENE_0250,54,143,103,81,250,155
GENE_0251,22,15,29,13,12,29
GENE_0252,350,379,200,86,447,254
GENE_0253,750,1130,1615,1415,1353,941
