gene_id,true_log2fc,is_de,direction
GENE_0001,0.0,0,ns
GENE_0002,0.0,0,ns
GENE_0003,0.0,0,ns
GENE_0004,0.0,0,ns
GENE_0005,0.0,0,ns
GENE_0006,0.0,0,ns
GENE_0007,0.0,0,ns
GENE_0008,0.0,0,ns
GENE_0009,0.0,0,ns
GENE_0010,0.0,0,ns
GENE_0011,0.0,0,ns
GENE_0012,0.0,0,ns
GENE_0013,0.0,0,ns
GENE_0014,0.0,0,ns
GENE_0015,0.0,0,ns
GENE_0016,0.0,0,ns
GENE_0017,0.0,0,ns
GENE_0018,0.0,0,ns
GENE_0019,0.0,0,ns
GENE_0020,0.0,0,ns
GENE_0021,0.0,0,ns
GENE_0022,0.0,0,ns
GENE_0023,0.0,0,ns
GENE_0024,0.0,0,ns
GENE_0025,0.0,0,ns
GENE_0026,0.0,0,ns
GENE_0027,0.0,0,ns
GENE_0028,0.0,0,ns
GENE_0029,0.0,0,ns
GENE_0030,0.0,0,ns
GENE_0031,0.0,0,ns
GENE_0032,0.0,0,ns
GENE_0033,0.0,0,ns
GENE_0034,0.0,0,ns
GENE_0035,0.0,0,ns
GENE_0036,0.0,0,ns
GENE_0037,-1.649948380437356,1,down
GENE_0038,0.0,0,ns
GENE_0039,0.0,0,ns
GENE_0040,0.0,0,ns
GENE_0041,0.0,0,ns
GENE_0042,0.0,0,ns
GENE_0043,0.0,0,ns
GENE_0044,0.0,0,ns
GENE_0045,0.0,0,ns
GENE_0046,-1.552866000188779,1,down
GENE_0047,0.0,0,ns
GENE_0048,0.0,0,ns
GENE_0049,0.0,0,ns
GENE_0050,0.0,0,ns
GENE_0051,2.107891937850724,1,up
GENE_0052,0.0,0,ns
GENE_0053,-2.1666591973707408,1,down
GENE_0054,0.0,0,ns
GENE_0055,0.0,0,ns
GENE_0056,0.0,0,ns
GENE_0057,0.0,0,ns
GENE_0058,0.0,0,ns
GENE_0059,0.0,0,ns
GENE_0060,0.0,0,ns
GENE_0061,2.167525407096355,1,up
GENE_0062,0.0,0,ns
GENE_0063,0.0,0,ns
GENE_0064,0.0,0,ns
GENE_0065,0.0,0,ns
GENE_0066,0.0,0,ns
GENE_0067,0.0,0,ns
GENE_0068,0.0,0,ns
GENE_0069,0.0,0,ns
GENE_0070,0.0,0,ns
GENE_0071,0.0,0,ns
GENE_0072,0.0,0,ns
GENE_0073,0.0,0,ns
GENE_0074,0.0,0,ns
GENE_0075,-1.9944289972760132,1,down
GENE_0076,0.0,0,ns
GENE_0077,-2.9811487775082592,1,down
GENE_0078,1.9605251884838844,1,up
GENE_0079,0.0,0,ns
GENE_0080,0.0,0,ns
GENE_0081,0.0,0,ns
GENE_0082,0.0,0,ns
GENE_0083,0.0,0,ns
GENE_0084,0.0,0,ns
GENE_0085,-1.9515543731426694,1,down
GENE_0086,0.0,0,ns
GENE_0087,0.0,0,ns
GENE_0088,0.0,0,ns
GENE_0089,0.0,0,ns
GENE_0090,0.0,0,ns
GENE_0091,2.10577766946302,1,up
