sample_id,condition,replicate,culture_medium,incubation_h,sequencing_batch
ctrl_1,control,1,rich_glucose,24,batch_1
ctrl_2,control,2,rich_glucose,24,batch_1
ctrl_3,control,3,rich_glucose,24,batch_2
ctrl_4,control,4,rich_glucose,24,batch_2
ctrl_5,control,5,rich_glucose,24,batch_3
treat_1,treated,1,nitrogen_limited,24,batch_1
treat_2,treated,2,nitrogen_limited,24,batch_1
treat_3,treated,3,nitrogen_limited,24,batch_2
treat_4,treated,4,nitrogen_limited,24,batch_2
treat_5,treated,5,nitrogen_limited,24,batch_3
